Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.1,38589,224.0.0.251,5353,17,2024-05-13 14:57:35,0.0,1,0,86,0,86.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,0,0,0,86,86,86.0,0.0,0.0,1,0,0,0,0,0,0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.1,33486,224.0.0.251,5353,17,2024-05-13 14:57:35,0.0,1,0,86,0,86.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,0,0,0,86,86,86.0,0.0,0.0,1,0,0,0,0,0,0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.1,43577,224.0.0.251,5353,17,2024-05-13 14:57:45,0.0,1,0,86,0,86.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,0,0,0,86,86,86.0,0.0,0.0,1,0,0,0,0,0,0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.1,44859,224.0.0.251,5353,17,2024-05-13 14:57:45,0.0,1,0,86,0,86.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,0,0,0,86,86,86.0,0.0,0.0,1,0,0,0,0,0,0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.1,55779,224.0.0.251,5353,17,2024-05-13 14:57:45,0.0,1,0,86,0,86.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,0,0,0,86,86,86.0,0.0,0.0,1,0,0,0,0,0,0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.1,53087,224.0.0.251,5353,17,2024-05-13 14:57:45,0.0,1,0,86,0,86.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,0,0,0,86,86,86.0,0.0,0.0,1,0,0,0,0,0,0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.179,5353,224.0.0.251,5353,17,2024-05-13 14:57:30,19967046.7376709,2,0,206,0,103.0,103.0,103.0,0.0,0.0,0.0,0.0,0.0,10.316998938623676,0.10016503823906482,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,0.10016503823906482,0.0,103,103,103.0,0.0,0.0,1,0,0,0,0,0,0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.1,52895,224.0.0.251,5353,17,2024-05-13 14:57:55,0.0,1,0,86,0,86.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,0,0,0,86,86,86.0,0.0,0.0,1,0,0,0,0,0,0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.1,34691,224.0.0.251,5353,17,2024-05-13 14:57:56,0.0,1,0,86,0,86.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,0,0,0,86,86,86.0,0.0,0.0,1,0,0,0,0,0,0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.1,59253,239.255.255.250,1900,17,2024-05-13 14:57:30,90008805.27496338,28,0,13217,0,502.0,422.0,472.0357142857143,27.89454906154496,0.0,0.0,0.0,0.0,146.8411891439293,0.31108067610123485,3333659.4546282734,9426277.771766981,29995737.7910614,0.2384185791015625,90008805.27496338,3333659.4546282734,9426277.771766981,29995737.7910614,0.2384185791015625,0.0,0.0,0.0,0.0,0.0,0,0,0,0,224,0,0.31108067610123485,0.0,422,502,472.0357142857143,27.89454906154496,778.1058673469388,1,0,0,0,0,0,0,0.0,472.0357142857143,3887.0,9.0,502452.9899118572,0.0,0.0,0.0,0,0,28,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.134,63521,239.255.255.250,1900,17,2024-05-13 14:58:02,2969407.081604004,4,0,868,0,217.0,217.0,217.0,0.0,0.0,0.0,0.0,0.0,292.3142486516624,1.3470702702841586,989802.360534668,48342.09934066103,1023998.9757537842,921436.3098144531,2969407.081604004,989802.360534668,48342.09934066103,1023998.9757537842,921436.3098144531,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0,1.3470702702841586,0.0,217,217,217.0,0.0,0.0,0,0,0,0,0,0,0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.1,52162,224.0.0.251,5353,17,2024-05-13 14:58:06,0.0,1,0,86,0,86.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,0,0,0,86,86,86.0,0.0,0.0,1,0,0,0,0,0,0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.1,53930,224.0.0.251,5353,17,2024-05-13 14:58:06,0.0,1,0,86,0,86.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,0,0,0,86,86,86.0,0.0,0.0,1,0,0,0,0,0,0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.1,38492,224.0.0.251,5353,17,2024-05-13 14:58:26,0.0,1,0,86,0,86.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,0,0,0,86,86,86.0,0.0,0.0,1,0,0,0,0,0,0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.1,45125,224.0.0.251,5353,17,2024-05-13 14:58:26,0.0,1,0,86,0,86.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,0,0,0,86,86,86.0,0.0,0.0,1,0,0,0,0,0,0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.1,50321,224.0.0.251,5353,17,2024-05-13 14:58:26,0.0,1,0,86,0,86.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,0,0,0,86,86,86.0,0.0,0.0,1,0,0,0,0,0,0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
