Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.234.128,39942,192.168.234.131,80,6,2024-04-26 21:09:13,618.9346313476562,3,1,206,74,74.0,66.0,68.66666666666667,3.7712361663282534,74.0,74.0,74.0,0.0,452390.2619414484,6462.718027734977,206.3115437825521,78.77544524337958,308.990478515625,117.54035949707031,618.9346313476562,309.4673156738281,117.06352233886719,426.5308380126953,192.40379333496094,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,20,4847.038520801233,1615.6795069337443,66,74,70.0,4.0,16.0,1,0,0,0,0,0,0,0.3333333333333333,70.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
192.168.234.128,37910,192.168.234.131,443,6,2024-04-26 21:09:13,177.3834228515625,1,1,74,54,74.0,74.0,74.0,0.0,54.0,54.0,54.0,0.0,721600.6881720431,11275.010752688173,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,5637.5053763440865,5637.5053763440865,54,74,64.0,10.0,100.0,1,0,0,0,0,0,0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
192.168.234.128,33485,192.168.234.2,53,17,2024-04-26 21:09:13,5161.523818969727,1,1,88,143,88.0,88.0,88.0,0.0,143.0,143.0,143.0,0.0,44754.22532218578,387.48247032195485,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,193.74123516097742,193.74123516097742,88,143,115.5,27.5,756.25,1,0,0,0,0,0,0,1.0,115.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
192.168.234.128,46122,192.168.234.131,3306,6,2024-04-26 21:09:13,60.79673767089844,1,1,74,54,74.0,74.0,74.0,0.0,54.0,54.0,54.0,0.0,2105376.125490196,32896.50196078431,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,16448.250980392157,16448.250980392157,54,74,64.0,10.0,100.0,1,0,0,0,0,0,0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
192.168.234.128,44232,192.168.234.131,23,6,2024-04-26 21:09:13,115.39459228515625,1,1,74,54,74.0,74.0,74.0,0.0,54.0,54.0,54.0,0.0,1109237.4214876033,17331.834710743802,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,8665.917355371901,8665.917355371901,54,74,64.0,10.0,100.0,1,0,0,0,0,0,0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
192.168.234.128,48430,192.168.234.131,139,6,2024-04-26 21:09:13,31.709671020507812,1,1,74,54,74.0,74.0,74.0,0.0,54.0,54.0,54.0,0.0,4036623.3984962404,63072.240601503756,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,31536.120300751878,31536.120300751878,54,74,64.0,10.0,100.0,1,0,0,0,0,0,0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
192.168.234.128,39050,192.168.234.131,587,6,2024-04-26 21:09:13,77.48603820800781,1,1,74,54,74.0,74.0,74.0,0.0,54.0,54.0,54.0,0.0,1651910.4984615385,25811.10153846154,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,12905.55076923077,12905.55076923077,54,74,64.0,10.0,100.0,1,0,0,0,0,0,0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
192.168.234.128,59866,192.168.234.131,113,6,2024-04-26 21:09:13,23.603439331054688,1,1,74,54,74.0,74.0,74.0,0.0,54.0,54.0,54.0,0.0,5422938.5050505055,84733.41414141415,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,42366.707070707074,42366.707070707074,54,74,64.0,10.0,100.0,1,0,0,0,0,0,0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
192.168.234.128,53132,192.168.234.131,110,6,2024-04-26 21:09:13,48.87580871582031,1,1,74,54,74.0,74.0,74.0,0.0,54.0,54.0,54.0,0.0,2618882.4975609756,40920.039024390244,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,20460.019512195122,20460.019512195122,54,74,64.0,10.0,100.0,1,0,0,0,0,0,0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
192.168.234.128,60254,192.168.234.131,554,6,2024-04-26 21:09:13,22.172927856445312,1,1,74,54,74.0,74.0,74.0,0.0,54.0,54.0,54.0,0.0,5772805.505376345,90200.08602150538,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,45100.04301075269,45100.04301075269,54,74,64.0,10.0,100.0,1,0,0,0,0,0,0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
