Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.234.131,54912,20.42.72.131,443,6,2024-03-13 22:33:12,601994.7528839111,6,7,2639,545,2182.0,54.0,439.8333333333333,780.031498651746,152.0,60.0,77.85714285714286,32.33939910842311,5289.082645233627,21.594872609308148,50166.22940699259,102040.78348502712,278778.3145904541,0.0,601296.6632843018,120259.33265686035,146224.0429362953,321858.88290405273,293.0164337158203,599840.1641845703,99973.36069742839,140669.63040699283,317759.75227355957,0.0,0,0,0,0,120,140,9.966864281219145,11.628008328089003,54,2182,244.92307692307693,560.3112406426741,313948.6863905326,1,0,0,0,0,0,0,1.1666666666666667,244.92307692307693,0.0,0.0,0.0,149.0,4.0,249.77450438878014,62780,64240,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.234.131,35094,192.168.234.2,53,17,2024-03-13 22:33:16,26473.9990234375,1,1,97,469,97.0,97.0,97.0,0.0,469.0,469.0,469.0,0.0,21379.4674351585,75.54582132564842,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,37.77291066282421,37.77291066282421,97,469,283.0,186.0,34596.0,0,0,0,0,0,0,0,1.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.234.131,37557,192.168.234.2,53,17,2024-03-13 22:33:16,26254.17709350586,1,1,97,249,97.0,97.0,97.0,0.0,249.0,249.0,249.0,0.0,13178.855264352786,76.17835412920685,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,38.089177064603426,38.089177064603426,97,249,173.0,76.0,5776.0,0,0,0,0,0,0,0,1.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.234.131,55840,192.168.234.2,53,17,2024-03-13 22:33:16,5474.567413330078,1,1,108,201,108.0,108.0,108.0,0.0,201.0,201.0,201.0,0.0,56442.81578259733,365.32566849577563,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,182.66283424788782,182.66283424788782,108,201,154.5,46.5,2162.25,0,0,0,0,0,0,0,1.0,154.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.234.131,51312,34.149.100.209,443,6,2024-03-13 22:33:16,105231.04667663574,9,10,1790,2187,726.0,54.0,198.88888888888889,209.06960268157613,861.0,60.0,218.7,277.23277223300994,37793.029011874365,180.55507951360647,5846.169259813097,11382.591498371256,47774.553298950195,56.26678466796875,105060.57739257812,13132.572174072266,14953.243045057558,48331.02226257324,130.4149627685547,89807.98721313477,9978.665245903863,14231.166801252604,47774.553298950195,89.6453857421875,0,0,0,0,180,200,85.52609029591885,95.02898921768761,54,861,209.31578947368422,247.4958910092893,61254.21606648201,1,0,0,0,0,0,0,1.1111111111111112,209.31578947368422,0.0,0.0,0.0,0.0,0.0,0.0,64240,64240,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.234.131,55664,192.168.234.2,53,17,2024-03-13 22:33:16,5712.985992431641,1,1,88,289,88.0,88.0,88.0,0.0,289.0,289.0,289.0,0.0,65990.00951506553,350.07962607461815,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,175.03981303730907,175.03981303730907,88,289,188.5,100.5,10100.25,0,0,0,0,0,0,0,1.0,188.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.234.131,58714,192.168.234.2,53,17,2024-03-13 22:33:16,5558.252334594727,1,1,88,169,88.0,88.0,88.0,0.0,169.0,169.0,169.0,0.0,46237.55535538112,359.82533350491144,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,179.91266675245572,179.91266675245572,88,169,128.5,40.5,1640.25,0,0,0,0,0,0,0,1.0,128.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.234.131,45592,192.168.234.2,53,17,2024-03-13 22:33:16,5274.295806884766,1,1,85,485,85.0,85.0,85.0,0.0,485.0,485.0,485.0,0.0,108071.29915920802,379.19754090950187,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,189.59877045475093,189.59877045475093,85,485,285.0,200.0,40000.0,0,0,0,0,0,0,0,1.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.234.131,54257,192.168.234.2,53,17,2024-03-13 22:33:16,4878.520965576172,1,1,85,497,85.0,85.0,85.0,0.0,497.0,497.0,497.0,0.0,119298.45215521455,409.9603166845861,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,204.98015834229304,204.98015834229304,85,497,291.0,206.0,42436.0,0,0,0,0,0,0,0,1.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.234.131,48544,34.120.5.221,443,6,2024-03-13 22:33:16,104743.00384521484,11,12,1892,8603,714.0,54.0,172.0,194.68155816848468,6927.0,60.0,716.9166666666666,1879.6874943428465,100197.62289335433,219.58507161001904,4761.045629327948,10695.483573377443,48378.22914123535,0.2384185791015625,104521.27456665039,10452.127456665039,14360.477565239686,48717.26036071777,78.2012939453125,89864.01557922363,8169.455961747603,13704.3374247356,48378.22914123535,0.2384185791015625,0,0,0,0,220,240,105.01894729174823,114.5661243182708,54,6927,456.30434782608694,1391.2733434045422,1935641.516068053,1,0,0,0,0,0,0,1.0909090909090908,456.30434782608694,0.0,0.0,0.0,7121.0,4.0,395550.7129481254,64240,64240,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.234.131,46248,192.168.234.2,53,17,2024-03-13 22:33:16,6819.009780883789,1,1,90,331,90.0,90.0,90.0,0.0,331.0,331.0,331.0,0.0,61739.16939967134,293.29771686304673,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,146.64885843152337,146.64885843152337,90,331,210.5,120.5,14520.25,0,0,0,0,0,0,0,1.0,210.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
